dimension,raw_tag,canonical_tag,suggested_tag,r189_action,r189_reason,r189_confidence,r189_profile_similarity,governance_action,governance_reasons,requires_review,is_long_tail,is_generic_or_noisy,is_multimodal,tail_threshold,row_count,effect_weight,event_count,token_weight,support,top_processes,top_effects,top_paths,top_context_tags,top_models,top_kinds,regeneration_context_hash,regenerated_tag,regenerated_valid,regeneration_error,review_label,review_notes
session,uxdesign,design,design,merge,lexical+profile,0.859,0.818,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,1,1148,0,0,1148,rg=324; sed=258; wc=180; git=164; cargo=112; nl=78,read=1010; test=86; process=52,collector/src=616; none=178; docs/design=82; .rs=62; collector/tests=54; src=44,review=278; uxdesigncodx=224; docx=198; codexcheck=176; codexinteg=100; design=48,,,e4919185f224db28,,,,,
prompt,designcodex,design,design,merge,lexical+profile,0.775,0.588,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,1,1074,0,0,1074,rg=376; sed=186; cargo=162; find=118; git=96; wc=34,read=834; test=152; process=84; repo=4,collector/src=638; collector/cargo.toml=160; collector/tests=84; docs/design=62; none=60; .rs=48,design=1075,,,8cc59601c95dab94,,,,,
prompt,testcodex,test,test,merge,lexical+profile,0.807,0.698,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,28,982,0,0,982,git=248; sed=183; rg=149; tool/tool=51; find=44; actplane=43,read=675; process=265; test=23; network=12; repo=7,none=204; bpf=124; collector/src=109; docs/corpus-test=75; docs/eval_scripts=72; docs/eval.md=50,test=1010,,,26a84a4f8808812e,,,,,
llm,uxdesign,design,design,merge,lexical+profile,0.79,0.619,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,10,0,0,357,7490321780,357,,,,review=1152922522; docx=769754031; codexcheck=474901594; codexinteg=401430163; refactor=383636057; uxdesigncodx=302513465,codex=4071309023,estimate=3419013114; input=333115161; cache=316835712; output=2344679,53ab2881c0f8874d,,,,,
prompt,reviewbu,review,review,merge,lexical+profile,0.797,0.64,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,1,254,0,0,254,nl=110; rg=96; git=30; find=18,read=254,collector/src=138; none=30; frontend/src=18; collector/tests=8; .rs=8; collector/adapters=6,reviewbu=255,,,893a1ea017edbc4f,,,,,
session,reviewbu,review,review,merge,lexical+profile,0.807,0.668,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,1,254,0,0,254,nl=110; rg=96; git=30; find=18,read=254,collector/src=138; none=30; frontend/src=18; collector/tests=8; .rs=8; collector/adapters=6,reviewbu=254,,,440c24b9bf0fc5eb,,,,,
prompt,testcodexrun,test,test,merge,lexical+profile,0.789,0.647,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,1,198,0,0,198,find=42; python3=32; tool/tool=30; sed=28; git=16; llama-server=12,read=98; process=92; network=6; write=2,none=60; docs/eval_scripts=32; docs/corpus-rq1=18; docs/corpus=16; build=14; collector/src=10,test=199,,,c2c6bd6e5923c704,,,,,
prompt,analyzesess,analyze,analyze,merge,lexical+profile,0.852,0.816,auto_canonicalize_existing,r189_lexical+profile,True,False,True,True,100,6,179,0,0,179,rg=38; python3=29; sed=27; git=21; find=13; tool/tool=10,read=114; process=62; repo=3,docs/visexp=104; none=36; collector/src=8; paper=6; osdi-experiment-design=3; skills=2,analyze=185,,,e29c09a1e190f53f,,,,,
session,visdesign,design,design,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,False,True,False,100,1,164,0,0,164,sed=36; cargo=16; python3=16; find=14; jq=14; nl=14,read=108; process=54; write=2,docs/design=84; none=20; frontend/src=20; collector/cargo.toml=16; docs/sample-snapshot.json=6; collector/target=2,docgen=100; visdesign=64,,,3f273e2bf188832d,,,,,
prompt,cleanups,cleanup,cleanup,merge,lexical+profile,0.845,0.91,auto_canonicalize_existing,r189_lexical+profile,True,False,False,True,100,4,106,0,0,106,tool/tool=40; du=38; docker=20; df=6; journalctl=2,process=106,none=64; home=12; var=10; /=6; yunwei37=6; opt=2,cleanup=109; test=1,,,7a65a95c4cee8876,,,,,
prompt,perfstrace,trace,trace,merge,lexical+profile,0.75,0.583,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,100,2,97,0,0,97,git=21; tmp_mktemp=14; opencode=10; agentsight=7; rg=7; claude=4,process=60; read=35; test=2,none=44; collector/target=10; ghcr.io=8; docs/fixtures=8; tmp=5; collector/src=5,design=99,,,47ed1bf7c31c0cb1,,,,,
prompt,testrewrite,test,test,merge,lexical+profile,0.777,0.612,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,1,78,0,0,78,sed=40; rg=10; git=9; tool/plan=4; cargo=4; tool/tool=4,read=60; process=14; test=4,bpf=32; none=20; collector/src=19; collector/test=4; source=1; update=1,test=79,,,590455e3fafc8e68,,,,,
prompt,refactorrepo,refactor,refactor,merge,lexical+profile,0.764,0.545,auto_canonicalize_existing,r189_lexical+profile,True,True,False,True,100,1,67,0,0,67,tool/subagent=38; python3=11; git=5; sed=5; rg=3; tool/plan=2,process=50; read=16; write=1,docs/eval_runs=24; none=22; yunwei37=9; sections=6; docs/rq1-expressiveness=4; docs/eval.md=1,refactor=68,,,f44681c0929da93c,,,,,
prompt,visdesign,design,design,merge,lexical+profile,0.729,0.456,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,1,64,0,0,64,sed=34; rg=10; nl=8; find=6; jq=4; git=2,read=64,docs/design=24; frontend/src=20; none=4; docs/sample-snapshot.json=4; cargo.toml=2; package.json=2,visdesign=65,,,bf32defdd31701dd,,,,,
llm,testcodex,test,test,merge,lexical+profile,0.757,0.526,auto_canonicalize_existing,r189_lexical+profile,True,False,True,False,10,0,0,56,83261769,56,,,,test=83254480; examples=657; compare=415; refactor=400; setup=342; testcodex=282,codex=83258180,input=42418410; cache=40572800; output=263269; estimate=3645,7f0dd49dbf2d71a3,,,,,
prompt,docscheck,docs,docs,merge,lexical+profile,0.779,0.641,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,100,1,46,0,0,46,nl=24; rg=14; tool/plan=6; git=2,read=40; process=6,collector/src=38; none=8,docs=47,,,09be7206a81ffa60,,,,,
prompt,designdoc,design,design,merge,lexical+profile,0.778,0.595,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,3,41,0,0,41,rg=19; sed=9; nl=6; git=4; tool/plan=3,read=38; process=3,docs/phase1_design.md=12; docs/research_plan.md=10; collector/src=9; none=4; capture=3; collector/tests=2,design=44,,,df4e3d6f051d9f8c,,,,,
prompt,mapresearch,research,research,merge,lexical+profile,0.757,0.571,auto_canonicalize_existing,r189_lexical+profile,True,True,False,True,100,1,35,0,0,35,find=17; jq=5; rg=4; for=2; ls=2; python3=2,read=30; process=5,corpus=8; tmp=7; runner=4; balancer_ingres=2; balancer_ingress=2; result.json=2,research=36,,,80890124b47d8299,,,,,
prompt,reviewdocs,review,review,merge,lexical+profile,0.788,0.613,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,1,35,0,0,35,nl=11; rg=10; python3=5; wc=5; sed=2; find=1,read=30; write=4; process=1,docs/visexp=29; len_min=1; min=1; rows_min=1; none=1; osdi-experiment-design=1,review=36,,,176787afcdfb37a7,,,,,
prompt,perfreview,review,review,merge,lexical+profile,0.772,0.569,auto_canonicalize_existing,r189_lexical+profile,True,True,True,True,100,1,26,0,0,26,grep=9; git=7; sed=6; tool/edit=2; tool/read=2,read=16; repo=6; process=4,docs/design=14; none=6; -home-yunwei37-workspace-agentsight=3; docs=2; docs/agents.md=1,review=27,,,de2dcc1e882b08fb,,,,,
