row_id,fragment_index,fragment_level,redacted_preview,candidate_tag,rubric,label,notes
R124-000,0,session,repo Read-only OSDI-style review for AgentFlame R124-scoring changes in $HOME/workspace/agentsight. Do not edit files. First read $HOME/workspace/my-paper-work/academ.,review,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-001,1,session,repo You are reviewing the AgentFlame research artifacts in $HOME/workspace/agentsight as an OSDI/SOSP-style systems reviewer. Read these skill files before judging: $HOME Follow-up review after fixes. Please re-check o.,review,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-002,2,session,"repo Using read-only commands, count occurrences of 'root_pid_time_window' in docs/visexp. Answer exactly one line: root_pid_refs=<n>.",rootpidcount,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-003,3,session,repo Do not browse the network. Read docs/visexp/FOLLOWUP_PLAN.md and answer exactly one line with the required R114 task count.,refactor,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-004,4,session,"repo Using read-only commands, check whether docs/visexp/paper/main.tex mentions AgentFlame. Answer exactly one line: paper_agentflame=<yes|no>.",paperagentfl,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-005,5,session,repo Read docs/visexp/RELATED_WORK_NOTES.md. Answer exactly one line naming the first listed system. Do not modify files.,readdocs,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-006,6,session,"repo Using read-only commands, count lines mentioning 'span-duration' in docs/visexp. Answer exactly one line: span_duration_lines=<n>.",countlines,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-007,7,session,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line: c4=<verdict word>. Do not modify files.,cmt,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-008,8,session,"repo Using read-only commands, count occurrences of 'root_pid_time_window' in docs/visexp. Answer exactly one line: root_pid_refs=<n>.",rootpidcount,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-009,9,session,repo Read docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line with the claim ID for developer utility. Do not modify files.,claimid,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-010,10,session,repo Read agentflame/README.md. Answer exactly one line with the command subcommand used for model benchmarks. Do not modify files.,benchmarks,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-011,11,session,repo Read docs/visexp/RELATED_WORK_NOTES.md. Answer exactly one line naming the first listed system. Do not modify files.,readdocs,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-012,12,session,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line: c4=<verdict word>. Do not modify files.,cmt,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-013,13,session,"repo Using read-only commands, count occurrences of 'root_pid_time_window' in docs/visexp. Answer exactly one line: root_pid_refs=<n>.",rootpidcount,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-014,14,session,repo Read docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line with the claim ID for developer utility. Do not modify files.,claimid,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-015,15,session,repo Read agentflame/README.md. Answer exactly one line with the command subcommand used for model benchmarks. Do not modify files.,benchmarks,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-016,16,session,repo Read docs/visexp/RELATED_WORK_NOTES.md. Answer exactly one line naming the first listed system. Do not modify files.,readdocs,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
R124-017,17,session,"repo You are reviewing a research artifact in $HOME/workspace/agentsight. Do a read-only OSDI/SOSP-style review of the current AgentFlame C4/R114 evidence after the latest loc. Quick follow-up review, read-only. I revis.",review,adequate=tag preserves the main intent; generic_noisy=tag is vague or low-value; misleading=tag points to the wrong task,,
