check,status,evidence
exactly_four_core_experiments,pass,"The main paper has four reviewer-facing experiment contracts, not a chronological R-run list."
each_core_has_executable_contract_fields,pass,"Each core experiment states the primary test, workload/oracle, baselines/metrics, evidence, support roles, failure interpretation, and non-claim."
no_fifth_core_experiment,pass,"R363/R365/R366/R369/R370 are presentation, mechanism, or guardrail artifacts inside E1-E4, not additional main experiments."
localization_block_has_required_metrics,pass,RQ2/E2 carries the profiling-paper localization metrics requested by the claim.
paper_states_core_experiment_contract,pass,Chinese and English drafts expose the four core experiments and the compact role map; R370 remains ledger provenance.
paper_downgrades_r_runs_to_support,pass,Both drafts explicitly keep R-numbered runs out of the main evaluation structure.
evaluation_records_three_empirical_plus_one_systems,pass,The evaluation ledger records the 3+1 experiment organization.
must_not_claims_preserved,pass,"The paper keeps the human-utility, automatic-boundary, metric-dominance, and ecosystem-compatibility guardrails visible."
source_policy_no_new_data_or_profiler_rerun,pass,"R370 reads tracked paper/docs/artifacts only; it downloads no data, relabels nothing, and reruns no profiler."
upstream_r360_r369_gates_pass,pass,"{""r360"": ""pass"", ""r361"": ""pass"", ""r363"": ""pass"", ""r364"": ""pass"", ""r365"": ""pass"", ""r368"": ""pass"", ""r369"": ""pass""}"
