check,passed,detail
real_labeled_trace_scale_preserved,True,"R320 totals={'datasets': 4, 'group_views': 36, 'policy_scores': 144, 'positive_operations': 3699, 'task_operations': 34539, 'tasks': 6}"
fidelity_metric_surface_present,True,R320 records the profiler-paper metric surface.
flat_work_claim_supported,True,"Top-5 work, budget-30 recall, and work-to-first-positive all improve over flat on 6/6 tasks."
fixed_session_tradeoff_not_dominance,True,Operation stacks improve fragmentation/localization metrics while preserving fixed-session work counterpoints.
actionability_claim_supported,True,"Executable patches, boundary-field repair, and rank-feature ablations support actionability."
mechanism_isolation_supported,True,"R366 isolates mapping/ranking/boundary mechanisms, and R375/R376 preserve claim scope."
paper_mentions_r377,True,Both papers and the evaluation ledger mention the R377 main-claim evidence packet.
claim_elements_not_extra_experiments,True,"The five R377 claim elements are paper-routing facets inside E1-E3, not additional experiments."
non_claims_preserved,True,"The evidence packet keeps human utility, automatic detection/selection, metric dominance, and ecosystem compatibility out of scope."
no_new_data_or_profiler_rerun,True,"R377 reads tracked artifacts and paper text only; it does not sync data, relabel traces, or invoke agentpprof."
english_submodule_input_committed,True,"The English paper input must be clean inside docs/agentpprof-paper, and the parent index must point at the same submodule commit before R377 reports pass."
source_status_tracked,True,All R377 sources are tracked or intentionally dirty/staged.
