check,status,evidence
three_empirical_plus_one_reproducibility_block,pass,"Exactly RQ1/E1-RQ4/E4 are represented, RQ1/E1-RQ3/E3 are empirical profiling blocks, RQ4/E4 is replayability/overhead/artifact hygiene, and no paper-facing E5/RQ5 is present."
required_sufficiency_fields_complete,pass,"Every core experiment row has primary experiment, oracle, baselines, metrics, success criterion, failure interpretation, scope, target, and sources."
primary_experiments_are_substantial,pass,Primary experiments are named for all RQ1/E1-RQ4/E4 and are not chronological run lists.
baseline_and_metric_surface_covers_main_claim,pass,E2 includes the required baselines and localization/ranking metrics.
fixed_session_baseline_scope,pass,The evaluated baseline is fixed-session drilldown; real span-tree imports remain future work.
query_aware_is_task_query_tuning_surface,pass,Query-aware policies are scoped as task-query tuning heuristics rather than a universal label-free ranker.
boundary_backend_is_supervised_ablation,pass,"R358/R366 are scoped to supervised held-out boundary-derived fields and suitability checks, not automatic boundary discovery."
actionability_has_executable_and_boundary_mechanisms,pass,"E3 includes executable profile-spec patches, OSWorld-Human boundary-field ablation, and field/ranker mechanism counterpoints."
field_derivation_is_internal_to_e1_e3,pass,"R366 field-derivation evidence is represented inside E1/E3, with no fifth paper-facing experiment."
negative_results_preserved,pass,"Metric, action-transfer, and boundary-field counterpoints remain visible."
visual_targets_are_not_flamegraph_only,pass,R363 provides five non-flamegraph-only paper views for E2/E3 plus oracle depth.
upstream_gates_pass,pass,"R360/R361/R363 pass, R352 is level_4, and R357 has 4/4 accepts with 0 blockers."
self_audits_are_artifact_hygiene_not_empirical_evidence,pass,"R338/R352/R356/R357/R359/R360/R363 are treated as artifact and claim-hygiene gates, not empirical profiler accuracy evidence."
two_abstraction_and_source_policy_preserved,pass,"Operation/operation-stack remain the only profiler abstractions, and the no-new-data policy is visible."
tracked_source_artifacts_available,pass,All source artifacts are tracked; current paper/docs may be dirty while this audit is being generated.
