project,vendor,path,strict_kind,broad_kind,strict_class,broad_class,reads,writes,accesses,write_read_ratio,written_with_zero_reads,write_revisit_share,h50_eligible_writes
ActPlane,claude,$BASE/policies/actplane/safety-backup-cron-job.yaml,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,$BASE/policies/archive/final-blockable-50-20260608T122658/safety-backup-cron-job.yaml,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,$OUTDIR/checkpoints.md,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,$OUTDIR/safe_completion.md,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,$OUTDIR/task.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,1,0,1,0.0,False,,0
ActPlane,claude,$OUTDIR/utils/evaluator.py,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,$TMPROOT,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,$dst,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,$f,,,ordinary,ordinary,4,3,7,0.75,False,0.0,2
ActPlane,claude,$f/statements.yaml,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,$new,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,$src,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,$target,,,ordinary,ordinary,0,2,2,,True,0.0,2
ActPlane,claude,$tmpfile,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,.claude/settings.json,,,ordinary,ordinary,2,2,4,1.0,False,0.0,2
ActPlane,claude,.claude/skills,skill,skill,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,.claude/skills/paper-fix,skill,skill,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,.claude/skills/paper-fix/SKILL.md,skill,skill,bookkeeping,bookkeeping,3,2,5,0.6666666666666666,False,1.0,1
ActPlane,claude,.claude/skills/paper-logic/SKILL.md,skill,skill,bookkeeping,bookkeeping,3,9,12,3.0,False,0.2857142857142857,7
ActPlane,claude,.claude/skills/paper-review/SKILL.md,skill,skill,bookkeeping,bookkeeping,7,12,19,1.7142857142857142,False,1.0,11
ActPlane,claude,.claude/worktrees,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,.git/hooks/commit-msg,,,ordinary,ordinary,0,2,2,,True,0.0,2
ActPlane,claude,.git/rebase-merge,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,.github/workflows/ci.yml,,,ordinary,ordinary,9,7,16,0.7777777777777778,False,0.7142857142857143,7
ActPlane,claude,.gitignore,,,ordinary,ordinary,4,1,5,0.25,False,,0
ActPlane,claude,.mcp.json,,,ordinary,ordinary,1,1,2,1.0,False,0.0,1
ActPlane,claude,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/memory/MEMORY.md,memory,memory,bookkeeping,bookkeeping,5,3,8,0.6,False,0.0,3
ActPlane,claude,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/memory/feedback-no-auto-commit.md,memory,memory,bookkeeping,bookkeeping,2,2,4,1.0,False,0.0,2
ActPlane,claude,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/memory/feedback-supplement-not-rewrite.md,memory,memory,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/memory/ref-agenticos2026-workshop.md,memory,memory,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/memory/ref-armo-ebpf-agent-blog.md,memory,memory,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/memory/ref-lpc2025-bpfjailer.md,memory,memory,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/skills/academic-style-edit,skill,skill,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/skills/academic-style-edit/SKILL.md,skill,skill,bookkeeping,bookkeeping,2,0,2,0.0,False,,0
ActPlane,claude,/home/yunwei37/.claude/skills/critique-like-senior-systems-reviewer/SKILL.md,skill,skill,bookkeeping,bookkeeping,2,0,2,0.0,False,,0
ActPlane,claude,/home/yunwei37/.claude/skills/paper-logic,skill,skill,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/skills/paper-logic/SKILL.md,skill,skill,bookkeeping,bookkeeping,1,1,2,1.0,False,1.0,1
ActPlane,claude,/home/yunwei37/.claude/skills/paper-review,skill,skill,bookkeeping,bookkeeping,0,3,3,,True,0.0,3
ActPlane,claude,/home/yunwei37/.claude/skills/paper-review/SKILL.md,skill,skill,bookkeeping,bookkeeping,4,9,13,2.25,False,0.2222222222222222,9
ActPlane,claude,/home/yunwei37/.claude/skills/paper-review/references/section-style.md,skill,skill,bookkeeping,bookkeeping,3,0,3,0.0,False,,0
ActPlane,claude,/home/yunwei37/.claude/skills/paper-review/references/whole-paper-review.md,skill,skill,bookkeeping,bookkeeping,1,0,1,0.0,False,,0
ActPlane,claude,/home/yunwei37/.claude/skills/paper-writing-style,skill,skill,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/skills/paper-writing-style-review,skill,skill,bookkeeping,bookkeeping,0,3,3,,True,0.0,3
ActPlane,claude,/home/yunwei37/.claude/skills/paper-writing-style-review/SKILL.md,skill,skill,bookkeeping,bookkeeping,2,6,8,3.0,False,0.3333333333333333,6
ActPlane,claude,/home/yunwei37/.claude/skills/paper-writing-style-review/references,skill,skill,bookkeeping,bookkeeping,0,1,1,,True,0.0,1
ActPlane,claude,/home/yunwei37/.claude/skills/paper-writing-style/SKILL.md,skill,skill,bookkeeping,bookkeeping,8,5,13,0.625,False,0.5,4
ActPlane,claude,/home/yunwei37/.claude/skills/revise-section-sosp-osdi/SKILL.md,skill,skill,bookkeeping,bookkeeping,1,0,1,0.0,False,,0
ActPlane,claude,/home/yunwei37/.claude/skills/tighten-prose-systems-latex/SKILL.md,skill,skill,bookkeeping,bookkeeping,2,0,2,0.0,False,,0
ActPlane,claude,/home/yunwei37/workspace/ActPlane/docs/corpus/*/meta.json,,,ordinary,ordinary,2,0,2,0.0,False,,0
ActPlane,claude,"/home/yunwei37/workspace/ActPlane/docs/papers/sections/{0-abstract,1-introduction,2-background,3-characterization,4-design,5-formal-verification,6-evaluation,7-implementation,8-related-work,9-conclusion,10-appendix}.tex",,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,/tmp/academic-writing-skills/skills/paper-fix/SKILL.md,skill,skill,bookkeeping,bookkeeping,3,3,6,1.0,False,0.6666666666666666,3
ActPlane,claude,/tmp/academic-writing-skills/skills/paper-logic/SKILL.md,skill,skill,bookkeeping,bookkeeping,9,13,22,1.4444444444444444,False,1.0,13
ActPlane,claude,/tmp/academic-writing-skills/skills/paper-review/SKILL.md,skill,skill,bookkeeping,bookkeeping,4,5,9,1.25,False,0.8,5
ActPlane,claude,CLAUDE.md,instruction,instruction,bookkeeping,bookkeeping,15,22,37,1.4666666666666666,False,0.0,21
ActPlane,claude,Cargo.toml,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,Makefile,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,README.md,,,ordinary,ordinary,44,42,86,0.9545454545454546,False,0.65,40
ActPlane,claude,academic-writing-skills,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,actplane-review.yaml,,,ordinary,ordinary,0,4,4,,True,1.0,4
ActPlane,claude,actplane.yaml,,,ordinary,ordinary,19,22,41,1.1578947368421053,False,0.47058823529411764,17
ActPlane,claude,agentsight-new,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,agentsight-test,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,agentsight-v59,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,anomalyco__opencode/AGENTS.md,instruction,instruction,bookkeeping,bookkeeping,1,0,1,0.0,False,,0
ActPlane,claude,arxiv-test,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,bpf/.output/process-legacy.bpf.o,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,bpf/.output/process.bpf.o,,,ordinary,ordinary,3,3,6,1.0,False,0.0,2
ActPlane,claude,bpf/.output/process.skel.h,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,bpf/.output/process.tmp.bpf.o,,,ordinary,ordinary,0,1,1,,True,,0
ActPlane,claude,bpf/Cargo.toml,,,ordinary,ordinary,6,2,8,0.3333333333333333,False,0.0,2
ActPlane,claude,bpf/Makefile,,,ordinary,ordinary,2,0,2,0.0,False,,0
ActPlane,claude,bpf/README.md,,,ordinary,ordinary,5,4,9,0.8,False,0.25,4
ActPlane,claude,bpf/build.rs,,,ordinary,ordinary,2,0,2,0.0,False,,0
ActPlane,claude,bpf/capability.bpf.h,,,ordinary,ordinary,11,1,12,0.09090909090909091,False,0.0,1
ActPlane,claude,bpf/channel.bpf.h,,,ordinary,ordinary,3,0,3,0.0,False,,0
ActPlane,claude,bpf/prebuilt/process.bpf.o,,,ordinary,ordinary,0,3,3,,True,0.0,1
ActPlane,claude,bpf/process.bpf.c,,,ordinary,ordinary,33,12,45,0.36363636363636365,False,0.16666666666666666,12
ActPlane,claude,bpf/process.c,,,ordinary,ordinary,6,9,15,1.5,False,0.0,9
ActPlane,claude,bpf/process.h,,,ordinary,ordinary,3,1,4,0.3333333333333333,False,0.0,1
ActPlane,claude,bpf/src/bin/actplane-loader.rs,,,ordinary,ordinary,4,9,13,2.25,False,0.2222222222222222,9
ActPlane,claude,bpf/src/capability.rs,,,ordinary,ordinary,2,0,2,0.0,False,,0
ActPlane,claude,bpf/src/lib.rs,,,ordinary,ordinary,51,13,64,0.2549019607843137,False,0.5,12
ActPlane,claude,bpf/taint.h,,,ordinary,ordinary,29,16,45,0.5517241379310345,False,0.8666666666666667,15
ActPlane,claude,bpf/taint_engine.bpf.h,,,ordinary,ordinary,34,14,48,0.4117647058823529,False,0.6,10
ActPlane,claude,bpf/test_taint.c,,,ordinary,ordinary,3,1,4,0.3333333333333333,False,,0
ActPlane,claude,collector/Cargo.toml,,,ordinary,ordinary,7,4,11,0.5714285714285714,False,0.0,4
ActPlane,claude,collector/README.md,,,ordinary,ordinary,5,5,10,1.0,False,0.2,5
ActPlane,claude,collector/src/binary_extractor.rs,,,ordinary,ordinary,0,1,1,,True,0.0,1
ActPlane,claude,collector/src/cli_db.rs,,,ordinary,ordinary,2,0,2,0.0,False,,0
ActPlane,claude,collector/src/config.rs,,,ordinary,ordinary,3,0,3,0.0,False,,0
ActPlane,claude,collector/src/dsl/ast.rs,,,ordinary,ordinary,14,10,24,0.7142857142857143,False,0.0,9
ActPlane,claude,collector/src/dsl/lower.rs,,,ordinary,ordinary,34,27,61,0.7941176470588235,False,0.47619047619047616,21
ActPlane,claude,collector/src/dsl/mod.rs,,,ordinary,ordinary,13,19,32,1.4615384615384615,False,0.05263157894736842,19
ActPlane,claude,collector/src/dsl/parse.rs,,,ordinary,ordinary,13,8,21,0.6153846153846154,False,0.0,7
ActPlane,claude,collector/src/feedback.rs,,,ordinary,ordinary,18,15,33,0.8333333333333334,False,0.4,15
ActPlane,claude,collector/src/framework/adapters/sql_adapter.rs,,,ordinary,ordinary,1,0,1,0.0,False,,0
ActPlane,claude,collector/src/framework/analyzers/mod.rs,,,ordinary,ordinary,1,1,2,1.0,False,0.0,1
