title,file,source,meaning
01 Semantic Flamegraph,01-semantic-flamegraph-top200.svg,R170 top-semantic-stacks-r170.csv,"A true collapsed stack view: width is system-effect weight, not just duration spans."
02 Interactive Semantic Flamegraph,02-semantic-flamegraph-top200.html,R170 top-semantic-stacks-r170.csv,"Same flamegraph with search, hover, and click details."
03 Semantic Stack Treemap,03-semantic-treemap-top200.svg,R170 top-semantic-stacks-r170.csv,Dominant session/prompt/process regions in the collapsed stack tree.
04 Process x Prompt Heatmap,04-process-prompt-heatmap.svg,R211 process-splits-r211.csv,Why process-only views hide intent: same process names spread across many prompt tags.
05 Baseline Collapse Ambiguity,05-baseline-collapse-ambiguity.svg,R211 baseline-collapse-examples-r211.csv,Concrete buckets where ordinary process/effect grouping mixes many semantic tasks.
06 Tag Distribution Small Multiples,06-tag-distribution-small-multiples.svg,R211 tag-distribution-r211.csv,"Head tags and skew across session, prompt, and LLM-call dimensions."
07 Tag Long-Tail Zipf,07-tag-long-tail-zipf.svg,R211 tag-distribution-r211.csv,Log-log long-tail curves that motivate reversible compaction.
08 Long-Tail Rollup,08-long-tail-rollup.svg,R214 rollup-preview-r214.csv,Seven governance buckets partition all raw-tag rows and support.
09 Long-Tail Control Gates,09-long-tail-control-gates.svg,R214 trigger-gates-r214.csv,Which compaction thresholds pass and which force review.
10 Review Priority Lane,10-review-priority-lane.svg,R214 review-priority-r214.csv,Highest-support pending candidate merges/regenerations.
11 Display Mode Comparison,11-display-mode-comparison.svg,R213 mode-summary-r213.csv,Raw/display/pending mode membership preservation and overlay load.
12 Display Compaction Ablation,12-display-compaction-ablation.svg,R212 variant-summary-r212.csv,Why unreviewed profile-guarded merges remain inactive.
13 Claim Readiness,13-claim-readiness.svg,R219 claim-readiness-r219.csv,Current research evidence level and remaining human-evidence blockers.
14 Lineage Evidence,14-lineage-evidence.svg,R114 live-record analysis and R182 network record suite,Exact lineage strength plus the remaining target-network gap.
15 Small-Model Benchmark,15-small-model-benchmark.svg,R180 model-benchmarks-r180.json,"Local 0.6B/1.1B/3B one-word tag latency, validity, and stability."
16 AgentFlame System Model,16-agentflame-system-model.svg,Design summary from current artifacts,The intended stack schema and display-control model.
