project,worktree_id,artifact_id,first_path,final_path,artifact_type,final_artifact_type,renamed_across_type,first_event_index,last_event_index,any_revisit,never_revisited,later_read,later_read_count,mutation_count
agentsight,e58fce112c6e,agentsight:a00000097,docs/vis.md,docs/vis.md,paper/docs,paper/docs,False,1953,2626,True,False,True,1,1
agentsight,e58fce112c6e,agentsight:a00000100,collector/src/session.rs,collector/src/session.rs,code,code,False,2293,12360,True,False,True,16,2
agentsight,e58fce112c6e,agentsight:a00000101,collector/src/cmd_trace.rs,collector/src/cmd_trace.rs,code,code,False,2294,84708,True,False,True,265,26
agentsight,e58fce112c6e,agentsight:a00000102,collector/src/cmd_debug.rs,collector/src/cmd_debug.rs,code,code,False,2295,80039,True,False,True,47,7
agentsight,e58fce112c6e,agentsight:a00000103,collector/src/cmd_exec.rs,collector/src/cmd_exec.rs,code,code,False,2296,82580,True,False,True,221,25
agentsight,e58fce112c6e,agentsight:a00000209,collector/vendor/bpf/stdiocap,collector/vendor/bpf/stdiocap,other,other,False,5858,6037,True,False,False,0,2
agentsight,e58fce112c6e,agentsight:a00000238,docs/design/materialized-view-architecture.md,docs/design/materialized-view-architecture.md,paper/docs,paper/docs,False,7999,20626,True,False,True,42,3
agentsight,e58fce112c6e,agentsight:a00000270,collector/vendor/frontend/dist,collector/vendor/frontend/dist,other,other,False,11534,11793,True,False,False,0,4
agentsight,e58fce112c6e,agentsight:a00000277,collector/src/framework/analyzers/filter_base.rs,collector/src/framework/analyzers/filter_base.rs,code,code,False,12992,13675,True,False,True,6,10
agentsight,e58fce112c6e,agentsight:a00000311,collector/src/cmd_perf_tui.rs,,code,,False,14269,19440,True,False,True,14,3
agentsight,e58fce112c6e,agentsight:a00000318,collector/src/view/canonical.rs,,code,,False,15312,19377,True,False,True,16,3
agentsight,e58fce112c6e,agentsight:a00000319,collector/src/view/llm.rs,,code,,False,15312,19377,True,False,True,11,2
agentsight,e58fce112c6e,agentsight:a00000332,btree.py,,code,,False,17485,17509,True,False,False,0,2
agentsight,e58fce112c6e,agentsight:a00000333,test_btree.py,,test,,False,17487,17509,True,False,False,0,2
agentsight,e58fce112c6e,agentsight:a00000334,btree_complexity_analysis.md,,paper/docs,,False,17489,17509,True,False,False,0,2
agentsight,e58fce112c6e,agentsight:a00000361,docs/design/architecture-refactor-plan.md,docs/design/architecture-refactor-plan.md,paper/docs,paper/docs,False,19305,19669,True,False,True,1,8
agentsight,e58fce112c6e,agentsight:a00000362,bpf/jsonl.h,bpf/jsonl.h,code,code,False,19326,84706,True,False,True,3,1
agentsight,e58fce112c6e,agentsight:a00000363,collector/src/semantic.rs,collector/src/semantic.rs,code,code,False,19368,19385,True,False,False,0,4
agentsight,e58fce112c6e,agentsight:a00000364,collector/src/providers/mod.rs,collector/src/providers/mod.rs,code,code,False,19369,19369,False,True,False,0,1
agentsight,e58fce112c6e,agentsight:a00000365,collector/src/providers/anthropic.rs,collector/src/providers/anthropic.rs,code,code,False,19370,19370,False,True,False,0,1
agentsight,e58fce112c6e,agentsight:a00000366,collector/src/providers/openai.rs,collector/src/providers/openai.rs,code,code,False,19371,19371,False,True,False,0,1
agentsight,e58fce112c6e,agentsight:a00000367,collector/src/providers/gemini.rs,collector/src/providers/gemini.rs,code,code,False,19372,19372,False,True,False,0,1
agentsight,e58fce112c6e,agentsight:a00000368,collector/src/decode.rs,collector/src/decode.rs,code,code,False,19373,19554,True,False,False,0,6
agentsight,e58fce112c6e,agentsight:a00000369,collector/src/agents/mod.rs,collector/src/agents/mod.rs,code,code,False,19413,19510,True,False,False,0,3
agentsight,e58fce112c6e,agentsight:a00000370,collector/src/agents/claude.rs,collector/src/agents/claude.rs,code,code,False,19414,19521,True,False,False,0,2
