dimension,raw_tag,active_display_tag,support,requires_review,is_long_tail,candidate_display_tag,candidate_source,candidate_state,governance_action,governance_reasons,review_reason
prompt,ignored,ignored,1221,True,False,refactor,r202_llama_candidate,pending_review:unlabeled,contextual_split_candidate,multi_peak_processes;multi_peak_paths;generic_or_noisy_tag,pending regenerated-label promotion review
session,uxdesign,uxdesign,1148,True,False,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,designcodex,designcodex,1074,True,False,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,testcodex,testcodex,982,True,False,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,codex,codex,402,True,False,codexnavigate,r202_llama_candidate,pending_review:unlabeled,contextual_split_candidate,multi_peak_processes;generic_or_noisy_tag,pending regenerated-label promotion review
llm,uxdesign,uxdesign,357,True,False,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,check,check,294,True,False,review,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
prompt,reviewbu,reviewbu,254,True,False,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
session,reviewbu,reviewbu,254,True,False,review,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,testcodexrun,testcodexrun,198,True,False,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,analyzesess,analyzesess,179,True,False,analyze,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,codexcheck,codexcheck,176,True,False,codexanalyze,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
llm,update,update,168,True,False,update,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
session,visdesign,visdesign,164,True,False,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,checkpoint,checkpoint,126,True,False,checkpoint,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
session,bpfanalyze,bpfanalyze,126,True,False,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,cleanups,cleanups,106,True,False,cleanup,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,codexinteg,codexinteg,100,True,False,codexread,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag,pending regenerated-label promotion review
prompt,perfstrace,perfstrace,97,True,True,trace,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,update,update,95,True,True,refactor,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,testrewrite,testrewrite,78,True,True,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,costanalysis,costanalysis,71,True,True,refactor,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,refactorrepo,refactorrepo,67,True,True,refactor,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,visdesign,visdesign,64,True,True,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,loganalyze,loganalyze,61,True,True,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
llm,testcodex,testcodex,56,True,False,test,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
llm,visdesign,visdesign,48,True,False,,,none,review_merge,r189_review_suggestion_not_applied,requires review before display-map promotion
prompt,docscheck,docscheck,46,True,True,docs,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,auditrewrite,auditrewrite,42,True,True,auditrewrite,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
prompt,designdoc,designdoc,41,True,True,design,r189_profile_guarded_merge_candidate,pending_merge_review,auto_canonicalize_existing,r189_lexical+profile,pending lexical/profile merge review
prompt,syncsync,syncsync,39,True,True,sync,r202_llama_candidate,pending_review:unlabeled,regenerate_candidate,generic_or_noisy_tag;long_tail,pending regenerated-label promotion review
