status_basis,project,action_mode,paper_docs_actions,code_actions,paper_docs_share,code_share,larger_category,paper_docs_to_code_ratio
ok_only,agentsight,read,11949,11570,0.4636067354698533,0.44890199425777916,paper/docs,1.0327571305099394
ok_only,agentsight,write,4766,1459,0.7256394640682094,0.22213763702801462,paper/docs,3.2666209732693625
ok_only,ActPlane,read,5607,6014,0.3804451078843805,0.40806079522323246,code,0.9323245759893581
ok_only,ActPlane,write,3569,717,0.6190806591500434,0.1243712055507372,paper/docs,4.97768479776848
ok_only,bpf-developer-tutorial,read,276,146,0.5564516129032258,0.29435483870967744,paper/docs,1.8904109589041096
ok_only,bpf-developer-tutorial,write,280,0,0.9893992932862191,0.0,paper/docs,
ok_only,eunomia.dev,read,732,1018,0.33936022253129344,0.4719517848864163,code,0.7190569744597249
ok_only,eunomia.dev,write,637,56,0.8561827956989247,0.07526881720430108,paper/docs,11.375
ok_only,agentskill-observability-paper,read,241,0,0.9958677685950413,0.0,paper/docs,
ok_only,agentskill-observability-paper,write,196,0,1.0,0.0,paper/docs,
ok_only,academic-writing-skills,read,180,16,0.8823529411764706,0.0784313725490196,paper/docs,11.25
ok_only,academic-writing-skills,write,243,7,0.9604743083003953,0.02766798418972332,paper/docs,34.714285714285715
ok_only,ALL_POOLED,read,18985,18764,0.43532594987503154,0.43025842104056317,paper/docs,1.0117778725218503
ok_only,ALL_POOLED,write,9691,2239,0.7017886885364617,0.16214063292055905,paper/docs,4.328271549799018
observed_only,agentsight,read,9,11,0.3,0.36666666666666664,code,0.8181818181818182
observed_only,agentsight,write,2334,3226,0.39154504277805735,0.5411843650394229,code,0.7234965902045877
observed_only,ActPlane,read,6,1,0.6,0.1,paper/docs,6.0
observed_only,ActPlane,write,1469,2215,0.32966786355475763,0.4970825852782765,code,0.6632054176072235
observed_only,bpf-developer-tutorial,read,0,0,,,tie,
observed_only,bpf-developer-tutorial,write,27,27,0.43548387096774194,0.43548387096774194,tie,1.0
observed_only,eunomia.dev,read,2,0,1.0,0.0,paper/docs,
observed_only,eunomia.dev,write,123,253,0.23699421965317918,0.48747591522157996,code,0.48616600790513836
observed_only,agentskill-observability-paper,read,0,0,,,tie,
observed_only,agentskill-observability-paper,write,0,0,,,tie,
observed_only,academic-writing-skills,read,4,0,1.0,0.0,paper/docs,
observed_only,academic-writing-skills,write,1,0,1.0,0.0,paper/docs,
observed_only,ALL_POOLED,read,21,12,0.45652173913043476,0.2608695652173913,paper/docs,1.75
observed_only,ALL_POOLED,write,3954,5721,0.35948722611146466,0.5201381943813074,code,0.6911379129522811
ok_plus_observed,agentsight,read,11958,11581,0.4634165245698341,0.4488063866067276,paper/docs,1.0325533200932562
ok_plus_observed,agentsight,write,7100,4685,0.5666852901269056,0.37393247665416235,paper/docs,1.5154749199573105
ok_plus_observed,ActPlane,read,5613,6015,0.3805939788445891,0.4078519121236778,code,0.9331670822942644
ok_plus_observed,ActPlane,write,5038,2932,0.49290676059094024,0.2868603854808727,paper/docs,1.718281036834925
ok_plus_observed,bpf-developer-tutorial,read,276,146,0.5564516129032258,0.29435483870967744,paper/docs,1.8904109589041096
ok_plus_observed,bpf-developer-tutorial,write,307,27,0.8898550724637682,0.0782608695652174,paper/docs,11.37037037037037
ok_plus_observed,eunomia.dev,read,734,1018,0.33997220935618344,0.4715145900880037,code,0.7210216110019646
ok_plus_observed,eunomia.dev,write,760,309,0.601741884402217,0.24465558194774348,paper/docs,2.459546925566343
ok_plus_observed,agentskill-observability-paper,read,241,0,0.9958677685950413,0.0,paper/docs,
ok_plus_observed,agentskill-observability-paper,write,196,0,1.0,0.0,paper/docs,
ok_plus_observed,academic-writing-skills,read,184,16,0.8846153846153846,0.07692307692307693,paper/docs,11.5
ok_plus_observed,academic-writing-skills,write,244,7,0.9606299212598425,0.027559055118110236,paper/docs,34.857142857142854
ok_plus_observed,ALL_POOLED,read,19006,18776,0.435348283207733,0.43007994136106464,paper/docs,1.012249680443119
ok_plus_observed,ALL_POOLED,write,13645,7960,0.5500241857465333,0.3208642373427926,paper/docs,1.7141959798994975
