id,project,family,template,method,repetition,status,answer,expected,correct,wrong,question_spec_sha256
ActPlane-A1,ActPlane,A,A1,trajectory,0,answer,375,354,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-A2,ActPlane,A,A2,trajectory,0,answer,303,303,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-A3,ActPlane,A,A3,trajectory,0,answer,46,70,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-A4,ActPlane,A,A4,trajectory,0,answer,5,5,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-A5,ActPlane,A,A5,trajectory,0,answer,2,3,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-B1,ActPlane,B,B1,trajectory,0,answer,119,119,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-B2,ActPlane,B,B2,trajectory,0,answer,42,42,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-B3,ActPlane,B,B3,trajectory,0,answer,77,77,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-B4,ActPlane,B,B4,trajectory,0,answer,read,read,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-B5,ActPlane,B,B5,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-C1,ActPlane,C,C1,trajectory,0,answer,4,4,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-C2,ActPlane,C,C2,trajectory,0,answer,10,10,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-C3,ActPlane,C,C3,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-C4,ActPlane,C,C4,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-C5,ActPlane,C,C5,trajectory,0,answer,26,26,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-D1,ActPlane,D,D1,trajectory,0,answer,untracked,untracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-D2,ActPlane,D,D2,trajectory,0,answer,untracked,untracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-D3,ActPlane,D,D3,trajectory,0,answer,untracked,untracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-D4,ActPlane,D,D4,trajectory,0,answer,untracked,untracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
ActPlane-D5,ActPlane,D,D5,trajectory,0,answer,absent,absent,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-A1,agentsight,A,A1,trajectory,0,answer,40,39,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-A2,agentsight,A,A2,trajectory,0,answer,8,8,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-A3,agentsight,A,A3,trajectory,0,answer,3,9,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-A4,agentsight,A,A4,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-A5,agentsight,A,A5,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-B1,agentsight,B,B1,trajectory,0,answer,3,3,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-B2,agentsight,B,B2,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-B3,agentsight,B,B3,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-B4,agentsight,B,B4,trajectory,0,answer,read,read,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-B5,agentsight,B,B5,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-C1,agentsight,C,C1,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-C2,agentsight,C,C2,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-C3,agentsight,C,C3,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-C4,agentsight,C,C4,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-C5,agentsight,C,C5,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-D1,agentsight,D,D1,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-D2,agentsight,D,D2,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-D3,agentsight,D,D3,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-D4,agentsight,D,D4,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
agentsight-D5,agentsight,D,D5,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-A1,bpf-benchmark,A,A1,trajectory,0,answer,479,470,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-A2,bpf-benchmark,A,A2,trajectory,0,answer,168,168,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-A3,bpf-benchmark,A,A3,trajectory,0,answer,7,30,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-A4,bpf-benchmark,A,A4,trajectory,0,answer,9,9,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-A5,bpf-benchmark,A,A5,trajectory,0,answer,3,4,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-B1,bpf-benchmark,B,B1,trajectory,0,answer,96,96,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-B2,bpf-benchmark,B,B2,trajectory,0,answer,20,20,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-B3,bpf-benchmark,B,B3,trajectory,0,answer,76,76,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-B4,bpf-benchmark,B,B4,trajectory,0,answer,read,read,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-B5,bpf-benchmark,B,B5,trajectory,0,answer,3,3,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-C1,bpf-benchmark,C,C1,trajectory,0,answer,6,6,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-C2,bpf-benchmark,C,C2,trajectory,0,answer,8,8,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-C3,bpf-benchmark,C,C3,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-C4,bpf-benchmark,C,C4,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-C5,bpf-benchmark,C,C5,trajectory,0,answer,32,32,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-D1,bpf-benchmark,D,D1,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-D2,bpf-benchmark,D,D2,trajectory,0,answer,absent,absent,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-D3,bpf-benchmark,D,D3,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-D4,bpf-benchmark,D,D4,trajectory,0,answer,untracked,untracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-benchmark-D5,bpf-benchmark,D,D5,trajectory,0,answer,absent,absent,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-A1,bpf-developer-tutorial,A,A1,trajectory,0,answer,75,75,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-A2,bpf-developer-tutorial,A,A2,trajectory,0,answer,73,73,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-A3,bpf-developer-tutorial,A,A3,trajectory,0,answer,0,11,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-A4,bpf-developer-tutorial,A,A4,trajectory,0,answer,8,8,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-B1,bpf-developer-tutorial,B,B1,trajectory,0,answer,29,29,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-B2,bpf-developer-tutorial,B,B2,trajectory,0,answer,9,9,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-B3,bpf-developer-tutorial,B,B3,trajectory,0,answer,20,20,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-B4,bpf-developer-tutorial,B,B4,trajectory,0,answer,read,read,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-C1,bpf-developer-tutorial,C,C1,trajectory,0,answer,3,3,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-C2,bpf-developer-tutorial,C,C2,trajectory,0,answer,5,5,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-C3,bpf-developer-tutorial,C,C3,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-C4,bpf-developer-tutorial,C,C4,trajectory,0,answer,4,4,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-D1,bpf-developer-tutorial,D,D1,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-D2,bpf-developer-tutorial,D,D2,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-D3,bpf-developer-tutorial,D,D3,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpf-developer-tutorial-D4,bpf-developer-tutorial,D,D4,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-A1,bpftime,A,A1,trajectory,0,answer,182,163,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-A2,bpftime,A,A2,trajectory,0,answer,18,18,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-A3,bpftime,A,A3,trajectory,0,answer,8,52,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-A4,bpftime,A,A4,trajectory,0,answer,3,3,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-A5,bpftime,A,A5,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-B1,bpftime,B,B1,trajectory,0,answer,10,10,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-B2,bpftime,B,B2,trajectory,0,answer,8,8,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-B3,bpftime,B,B3,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-B4,bpftime,B,B4,trajectory,0,answer,read,read,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-B5,bpftime,B,B5,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-C1,bpftime,C,C1,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-C2,bpftime,C,C2,trajectory,0,answer,5,5,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-C3,bpftime,C,C3,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-C4,bpftime,C,C4,trajectory,0,answer,11,11,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-C5,bpftime,C,C5,trajectory,0,answer,7,7,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-D1,bpftime,D,D1,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-D2,bpftime,D,D2,trajectory,0,answer,absent,absent,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-D3,bpftime,D,D3,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-D4,bpftime,D,D4,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
bpftime-D5,bpftime,D,D5,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-A1,eunomia.dev,A,A1,trajectory,0,answer,196,176,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-A2,eunomia.dev,A,A2,trajectory,0,answer,48,98,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-A3,eunomia.dev,A,A3,trajectory,0,answer,25,78,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-A4,eunomia.dev,A,A4,trajectory,0,answer,3,4,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-A5,eunomia.dev,A,A5,trajectory,0,answer,1,2,0,1,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-B1,eunomia.dev,B,B1,trajectory,0,answer,45,45,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-B2,eunomia.dev,B,B2,trajectory,0,answer,22,22,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-B3,eunomia.dev,B,B3,trajectory,0,answer,23,23,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-B4,eunomia.dev,B,B4,trajectory,0,answer,read,read,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-B5,eunomia.dev,B,B5,trajectory,0,answer,2,2,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-C1,eunomia.dev,C,C1,trajectory,0,answer,7,7,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-C2,eunomia.dev,C,C2,trajectory,0,answer,9,9,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-C3,eunomia.dev,C,C3,trajectory,0,answer,0,0,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-C4,eunomia.dev,C,C4,trajectory,0,answer,1,1,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-C5,eunomia.dev,C,C5,trajectory,0,answer,23,23,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-D1,eunomia.dev,D,D1,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-D2,eunomia.dev,D,D2,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-D3,eunomia.dev,D,D3,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-D4,eunomia.dev,D,D4,trajectory,0,answer,tracked,tracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
eunomia.dev-D5,eunomia.dev,D,D5,trajectory,0,answer,untracked,untracked,1,0,52236d197523299b94969efec1647d24bdc08714090596de60dd20ffaf51ab5f
