task,dataset,query_family,target_recall,best_work_policy,best_work,best_work_groups,best_group_policy,best_groups,best_group_work,policies_reached,default_reached,default_work,default_groups,optimization_action
agentnet_incorrect_step,agentnet,step-quality,0.1,operation_stack:query_aware,0.0499,41,flat:width,1,1.0,6,True,0.0499,41,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentnet_incorrect_step,agentnet,step-quality,0.25,raw_action_stack:query_aware,0.1985,18,flat:width,1,1.0,6,True,0.2,127,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentnet_incorrect_step,agentnet,step-quality,0.5,operation_stack:width,0.5,13,flat:width,1,1.0,5,True,0.5,232,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentnet_redundant_step,agentnet,step-quality,0.1,operation_stack:width,0.0999,2,flat:width,1,1.0,6,True,0.0999,31,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentnet_redundant_step,agentnet,step-quality,0.25,operation_stack:width,0.2,4,flat:width,1,1.0,6,True,0.2,36,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentnet_redundant_step,agentnet,step-quality,0.5,operation_stack:width,0.5,12,flat:width,1,1.0,4,True,0.5,160,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentreward_looping,agent-reward-bench,failure-looping,0.1,fixed_session:query_aware,0.0988,4,dataset_native:query_aware,1,0.1824,6,True,0.0988,5,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
agentreward_looping,agent-reward-bench,failure-looping,0.25,dataset_native:query_aware,0.1824,1,dataset_native:query_aware,1,0.1824,6,True,0.1989,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
agentreward_looping,agent-reward-bench,failure-looping,0.5,dataset_native:query_aware,0.4636,3,flat:width,1,1.0,6,True,0.4993,7,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
agentreward_side_effect,agent-reward-bench,failure-side-effect,0.1,raw_action_stack:query_aware,0.0453,4,dataset_native:query_aware,1,0.5364,6,True,0.0988,4,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
agentreward_side_effect,agent-reward-bench,failure-side-effect,0.25,raw_action_stack:query_aware,0.0947,5,dataset_native:query_aware,1,0.5364,6,True,0.299,19,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
agentreward_side_effect,agent-reward-bench,failure-side-effect,0.5,operation_stack:width,0.1989,3,dataset_native:query_aware,1,0.5364,6,True,0.4993,23,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
osworld_group_start,osworld-human,human-boundary,0.1,operation_stack:width,0.1,4,flat:width,1,1.0,6,True,0.2,13,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
osworld_group_start,osworld-human,human-boundary,0.25,raw_action_stack:query_aware,0.2,9,flat:width,1,1.0,6,True,0.2,13,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
osworld_group_start,osworld-human,human-boundary,0.5,operation_stack:width,0.4999,7,flat:width,1,1.0,5,False,,,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
satraj_unsafe,satraj-os-safety,safety,0.1,raw_action_stack:query_aware,0.0497,12,dataset_native:query_aware,1,0.098,6,True,0.0499,12,Use environment + phase + action stack fields; prioritize risky environments and write actions.
satraj_unsafe,satraj-os-safety,safety,0.25,operation_stack:query_aware,0.0499,12,dataset_native:query_aware,1,0.098,5,True,0.0499,12,Use environment + phase + action stack fields; prioritize risky environments and write actions.
satraj_unsafe,satraj-os-safety,safety,0.5,raw_action_stack:query_aware,0.0959,13,dataset_native:query_aware,1,0.098,5,True,0.2999,60,Use environment + phase + action stack fields; prioritize risky environments and write actions.
