project,vendor,session_id,source_stream_id,first_stream_ordinal,last_stream_ordinal,failures,span_calls,target_signature,pattern
ActPlane,codex,codex:019e80ef-6c47-7023-9a42-dc9dc4db3a04,a5ed645f7faec1be,660,662,3,3,"write_stdin|write|{""chars"":"""",""max_output_tokens"":80000,""session_id"":28219,""yield_time_ms"":1000}",process_polling
ActPlane,claude,claude:a10d7461-1a32-427e-bf27-1eaacaff89f9,b352ebfd0df1ca34,348,352,3,5,edit|actions|docs/papers/sections/05-evaluation.tex#0:write,repeated_edit
ActPlane,claude,claude:1206cca6-d292-4d81-b609-57ee8382c2c0,0e6f0e5d6b127b54,417,423,4,7,mcp__actplane__reload_policy|mcp|{},other
ActPlane,claude,claude:22ffeddd-8777-4e05-af12-df96fd639138,de420a26cf3e8279,159,161,3,3,edit|actions|docs/papers/sections/05-evaluation.tex#0:write,repeated_edit
ActPlane,claude,claude:029626e5-7e67-4ba3-a1a0-7255de9d6169,639df91d0b070923,210,212,3,3,edit|actions|docs/papers/sections/05-evaluation.tex#0:write,repeated_edit
ActPlane,claude,claude:f59f246d-712f-4bf2-8e0d-da7b04f61afe,ce9d9f98da6545e4,263,268,4,6,edit|actions|docs/papers/sections/02-motivation.tex#0:write,repeated_edit
ActPlane,claude,claude:f59f246d-712f-4bf2-8e0d-da7b04f61afe,ce9d9f98da6545e4,272,276,3,5,edit|actions|docs/papers/sections/02-motivation.tex#0:write,repeated_edit
ActPlane,claude,claude:3bfa6632-02db-43d0-af47-9c23f6508142,4f983659bc796a9a,37,41,5,5,edit|actions|docs/papers/sections/05-evaluation.tex#0:write,repeated_edit
ActPlane,claude,claude:ae1cdaec-2199-42d9-b784-818644ddb2da,17a0ef47b77df0e7,134,137,4,4,edit|actions|docs/papers/sections/02-motivation.tex#0:write,repeated_edit
ActPlane,codex,codex:019ef100-c3dd-7b72-a922-001a7b0a570f,fae80b985eeb4932,1083,1088,4,6,"write_stdin|write|{""chars"":"""",""max_output_tokens"":20000,""session_id"":97338,""yield_time_ms"":30000}",process_polling
ActPlane,codex,codex:019f01ec-7f4a-7102-8213-eda750228933,266eafbde123b9fd,401,405,3,5,"write_stdin|write|{""chars"":"""",""max_output_tokens"":60000,""session_id"":83478,""yield_time_ms"":30000}",process_polling
ActPlane,codex,codex:019f25b6-06a7-75f1-9f96-6dc755de3a20,8d572a03bef69b6f,619,623,3,5,"write_stdin|write|{""chars"":"""",""max_output_tokens"":30000,""session_id"":62517,""yield_time_ms"":30000}",process_polling
ActPlane,codex,codex:019f25b6-06a7-75f1-9f96-6dc755de3a20,8d572a03bef69b6f,785,792,5,8,"write_stdin|write|{""chars"":"""",""max_output_tokens"":60000,""session_id"":12868,""yield_time_ms"":30000}",process_polling
ActPlane,codex,codex:019f25b6-06a7-75f1-9f96-6dc755de3a20,8d572a03bef69b6f,969,972,3,4,"write_stdin|write|{""chars"":"""",""max_output_tokens"":60000,""session_id"":45070,""yield_time_ms"":30000}",process_polling
ActPlane,codex,codex:019f25b6-06a7-75f1-9f96-6dc755de3a20,8d572a03bef69b6f,1354,1357,3,4,"write_stdin|write|{""chars"":"""",""max_output_tokens"":30000,""session_id"":63533,""yield_time_ms"":30000}",process_polling
academic-writing-skills,claude,claude:65e5c20d-3b2d-4d9e-883f-fa5a25d39e41,894ff0719e9d6b36,1,5,3,5,"Bash|gh|gh pr view 1 --json title,body,baseRefName,headRefName,additions,deletions,files,state",remote_lookup
academic-writing-skills,claude,claude:65e5c20d-3b2d-4d9e-883f-fa5a25d39e41,894ff0719e9d6b36,2,6,3,5,Bash|gh|gh pr diff 1,remote_lookup
academic-writing-skills,claude,claude:65e5c20d-3b2d-4d9e-883f-fa5a25d39e41,894ff0719e9d6b36,15,17,3,3,Bash|gh|gh pr view 1 2>&1,remote_lookup
academic-writing-skills,claude,claude:9bd74ea0-8319-445a-af76-f5fb28fc161f,351b449684210b23,21,23,3,3,edit|source_paths|/home/yunwei37/.claude/skills/iter-refine-writing/SKILL.md:write,repeated_edit
academic-writing-skills,claude,claude:9bd74ea0-8319-445a-af76-f5fb28fc161f,351b449684210b23,148,151,4,4,edit|source_paths|/home/yunwei37/.claude/skills/check-paper-structure-flow/references/full-paper-12p.md:write,repeated_edit
academic-writing-skills,claude,claude:48255634-a49f-48b5-ae0c-882112407193,ad28c3d119f71b25,4,8,5,5,edit|actions|skills/auto-research-orchestrator/SKILL.md#0:write,repeated_edit
agentsight,codex,codex:019e8a5c-9f7a-74c1-933b-5cd21c1646ad,e99f786016b89570,313,322,4,10,exec_command|cargo|cargo clippy --all-targets -- -D warnings,validation_retry
agentsight,codex,codex:019ef1cc-23d6-7e73-93de-adb218e14ef2,183248b147656750,3,6,3,4,exec_command|pwd|pwd,other
agentsight,codex,codex:019ef649-f693-71b1-94d1-8e9dfafda53e,c52e8d65f0b7d6b2,194,208,7,15,"write_stdin|write|{""chars"":"""",""max_output_tokens"":50000,""session_id"":66159,""yield_time_ms"":30000}",process_polling
agentsight,codex,codex:019ef649-f693-71b1-94d1-8e9dfafda53e,c52e8d65f0b7d6b2,297,311,7,15,"write_stdin|write|{""chars"":"""",""max_output_tokens"":20000,""session_id"":62078,""yield_time_ms"":30000}",process_polling
