kind,reason,source,session_id_hash,session_tag,prompt_index,prompt_row_tag,event_prompt_tag,tool_name,command_name,effect,status,llm_tag,model,weight
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,18,refactor,explain,Bash,cargo,test,ok,,,2
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,cd,process,ok,,,2
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,repo,ok,,,8
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,repo,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,repo,ok,,,8
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Edit,edit,process,fail,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,sed,read,ok,,,2
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Read,read,process,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Edit,edit,process,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,repo,ok,,,8
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,repo,ok,,,2
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,gh,network,ok,,,1
tool,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,Bash,git,repo,ok,,,2
llm,prompt_tag_mismatch,claude,06e833bf9c34,refactor,18,refactor,explain,,,,,validate,claude-fable-5,1
llm,prompt_tag_mismatch,claude,06e833bf9c34,refactor,20,parse,block,,,,,refactor,claude-fable-5,1
llm,prompt_tag_mismatch,claude,06e833bf9c34,refactor,18,refactor,explain,,,,,refactor,claude-fable-5,1
llm,prompt_tag_mismatch,claude,06e833bf9c34,refactor,18,refactor,explain,,,,,refactor,claude-fable-5,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,2
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,2
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,node,write,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,npm,test,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,ls,read,ok,,,2
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,python3,write,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,curl,network,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,curl,network,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,kill,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,node,write,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,grep,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,grep,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,cd,process,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,read,ok,,,1
tool,prompt_tag_mismatch,claude,6765fb5303b8,review,21,review,test,Bash,git,repo,ok,,,7
