participant_id,trial_order,task,view,packet_id,dataset,query_family,problem,response_form
P01,1,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P01,2,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P01,3,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P01,4,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P01,5,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P01,6,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P02,1,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P02,2,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P02,3,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P02,4,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P02,5,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P02,6,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P03,1,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P03,2,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P03,3,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P03,4,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P03,5,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P03,6,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P04,1,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P04,2,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P04,3,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P04,4,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P04,5,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P04,6,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P05,1,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P05,2,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P05,3,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P05,4,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P05,5,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P05,6,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P06,1,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P06,2,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P06,3,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P06,4,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P06,5,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P06,6,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P07,1,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P07,2,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P07,3,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P07,4,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P07,5,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P07,6,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P08,1,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P08,2,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P08,3,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P08,4,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P08,5,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P08,6,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P09,1,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P09,2,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P09,3,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P09,4,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P09,5,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P09,6,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P10,1,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P10,2,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P10,3,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P10,4,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P10,5,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P10,6,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P11,1,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P11,2,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P11,3,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P11,4,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P11,5,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P11,6,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P12,1,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P12,2,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P12,3,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P12,4,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P12,5,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P12,6,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P13,1,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P13,2,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P13,3,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P13,4,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P13,5,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P13,6,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P14,1,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P14,2,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P14,3,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P14,4,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P14,5,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P14,6,osworld_group_start,operation_stack,osworld_group_start::operation_stack,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P15,1,agentnet_redundant_step,flat,agentnet_redundant_step::flat,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P15,2,agentreward_looping,fixed_session,agentreward_looping::fixed_session,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P15,3,satraj_unsafe,fixed_session,satraj_unsafe::fixed_session,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P15,4,agentreward_side_effect,operation_stack,agentreward_side_effect::operation_stack,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P15,5,osworld_group_start,flat,osworld_group_start::flat,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P15,6,agentnet_incorrect_step,operation_stack,agentnet_incorrect_step::operation_stack,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P16,1,osworld_group_start,fixed_session,osworld_group_start::fixed_session,osworld-human,human-boundary,Find human grouped-action segment starts in desktop traces.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P16,2,agentreward_looping,operation_stack,agentreward_looping::operation_stack,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P16,3,agentnet_redundant_step,fixed_session,agentnet_redundant_step::fixed_session,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P16,4,agentreward_side_effect,flat,agentreward_side_effect::flat,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P16,5,agentnet_incorrect_step,flat,agentnet_incorrect_step::flat,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P16,6,satraj_unsafe,operation_stack,satraj_unsafe::operation_stack,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P17,1,agentnet_redundant_step,operation_stack,agentnet_redundant_step::operation_stack,agentnet,step-quality,Find redundant human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P17,2,satraj_unsafe,flat,satraj_unsafe::flat,satraj-os-safety,safety,Find unsafe desktop computer-use operations.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P17,3,agentreward_side_effect,fixed_session,agentreward_side_effect::fixed_session,agent-reward-bench,failure-side-effect,Find side-effectful web-agent trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P17,4,agentreward_looping,flat,agentreward_looping::flat,agent-reward-bench,failure-looping,Find repetitive web-agent behavior in expert-reviewed trajectories.,rank_up_to_3_groups_with_confidence_and_visible_evidence
P17,5,agentnet_incorrect_step,fixed_session,agentnet_incorrect_step::fixed_session,agentnet,step-quality,Find incorrect human desktop steps.,rank_up_to_3_groups_with_confidence_and_visible_evidence
