promotion_id,dimension,raw_tag,canonical_tag,governance_action,governance_reasons,support,top_processes,top_effects,top_context_tags,regeneration_context_hash,regenerated_tag,grammar_valid,changed_from_raw,proposed_action,promotion_label,promotion_notes,labeler_1,labeler_2,adjudicated_label,final_label,final_source,label_state
r203-0001,prompt,ignored,ignored,contextual_split_candidate,multi_peak_processes;multi_peak_paths;generic_or_noisy_tag,1221,sed=254; tool/tool=206; git=202; rg=149; python3=109; llvm-objdump=37,read=680; process=484; write=46; test=8; repo=3,refactor=1222,910f4cda86263b78,refactor,True,True,review_split_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0002,prompt,codex,codex,contextual_split_candidate,multi_peak_processes;generic_or_noisy_tag,402,git=126; nl=78; rg=50; rustfmt=48; sed=44; cargo=22,read=302; process=78; test=22,docs=404,f48b8b97562aea2e,codexnavigate,True,True,review_split_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0003,llm,check,check,regenerate_candidate,generic_or_noisy_tag,294,,,refactor=2709619; review=1050982; merge=479675; metrics=159701; test=116453; docs=84193,da569356b1900778,review,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0004,prompt,codexcheck,codexcheck,regenerate_candidate,generic_or_noisy_tag,176,wc=54; rg=46; git=28; cargo=26; sed=18; nl=4,read=150; test=18; process=8,uxdesign=177,b2c5a21a97f80828,codexanalyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0005,llm,update,update,regenerate_candidate,generic_or_noisy_tag,168,,,review=242415819; refactor=825135; metrics=161249; test=117141; build=88845; design=1146,0fbf507af7e8de9b,update,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0006,prompt,checkpoint,checkpoint,regenerate_candidate,generic_or_noisy_tag,126,rg=42; sed=22; git=18; nl=14; tool/tool=10; tool/plan=8,read=100; process=26,design=127,587d3f35125ef9cf,checkpoint,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0007,prompt,codexinteg,codexinteg,regenerate_candidate,generic_or_noisy_tag,100,wc=36; rg=30; sed=26; cargo=6; nl=2,read=94; test=4; process=2,uxdesign=101,234c4d4b0d3ae701,codexread,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0008,prompt,update,update,regenerate_candidate,generic_or_noisy_tag;long_tail,95,rg=28; sed=20; tool/tool=19; git=16; tool/plan=3; find=3,read=69; process=26,refactor=76; design=25,6deda0235b4234be,refactor,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0009,prompt,costanalysis,costanalysis,regenerate_candidate,generic_or_noisy_tag;long_tail,71,tool/subagent=38; python3=11; git=7; sed=6; rg=3; tool/plan=2,process=50; read=20; write=1,refactor=72,e5b235c79355619d,refactor,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0010,prompt,auditrewrite,auditrewrite,regenerate_candidate,generic_or_noisy_tag;long_tail,42,rg=22; sed=10; git=6; tool/plan=2; find=2,read=40; process=2,design=43,d0a6989cf89d3ef4,auditrewrite,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0011,prompt,syncsync,syncsync,regenerate_candidate,generic_or_noisy_tag;long_tail,39,find=10; git=9; for=5; sed=5; tmp_mktemp=4; ls=2,read=26; process=13,analyze=40,ea8314c77817e3b3,sync,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0012,llm,clauderesp,clauderesp,regenerate_candidate,generic_or_noisy_tag,32,,,cli=1233654,c15252fe7e7afd60,query,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0013,prompt,agentsight,agentsight,regenerate_candidate,generic_or_noisy_tag;long_tail,28,rg=10; sed=4; git=3; printf=2; cargo=2; curl=2,read=17; process=7; test=2; network=2,review=27; agentsight=3,82002011b47ed5fb,review,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0014,prompt,dataupdate,dataupdate,regenerate_candidate,generic_or_noisy_tag;long_tail,27,find=14; python3=6; for=2; ps=2; test=2; stat=1,read=14; process=8; write=5,refactor=28,72f9d23dbfc0e2dd,refactor,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0015,prompt,syncdir,syncdir,regenerate_candidate,generic_or_noisy_tag;long_tail,24,find=8; git=5; ls=3; set=2; systemctl=2; flock=1,read=16; process=8,analyze=25,f10d3103001b32c4,syncdir,True,False,review_keep_raw,,,unclear,unclear,,unclear,consensus,final
r203-0016,prompt,check,check,regenerate_candidate,generic_or_noisy_tag;long_tail,20,sed=5; find=4; rg=2; ps=2; rm=2; tmux=2,read=12; process=5; write=2; network=1,review=14; analyze=11; refactor=8; sslcountchk=1,3dffdf6fd09b83b0,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0017,prompt,namecheck,namecheck,regenerate_candidate,generic_or_noisy_tag;long_tail,13,python=11; gh=1; npm=1,network=11; process=2,branding=14,9bb3226d7740c4e4,validate,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0018,prompt,perfcheck,perfcheck,regenerate_candidate,generic_or_noisy_tag;long_tail,11,tool/read=6; find=3; grep=2,process=6; read=5,review=12,f266a1e3fef71661,review,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0019,prompt,prompt,prompt,regenerate_candidate,generic_or_noisy_tag;long_tail,11,,,analyze=11,ad03d4b4c1441b53,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0020,llm,run,run,regenerate_candidate,generic_or_noisy_tag,10,,,refactor=149; review=106; analyze=95; docs=48; testcodex=47; design=31,fefdaa04443bc395,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0021,llm,staged,staged,regenerate_candidate,generic_or_noisy_tag,10,,,analyze=89; design=77; testcodex=62; test=51; explain=49,e3a24c19c5b78c16,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0022,prompt,paperagentfl,paperagentfl,regenerate_candidate,generic_or_noisy_tag;long_tail,10,rg=10,read=10,paperagentfl=15,72267fa8d74e7b7a,readagent,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0023,session,paperagentfl,paperagentfl,regenerate_candidate,generic_or_noisy_tag;long_tail,10,rg=10,read=10,paperagentfl=10,e22fc8ce24a7072e,readagent,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0024,session,rootpidrefsc,rootpidrefsc,regenerate_candidate,generic_or_noisy_tag;long_tail,10,rg=10,read=10,rootpidrefs=10,2882ec3c8049efde,read,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0025,llm,process,process,regenerate_candidate,generic_or_noisy_tag;long_tail,8,,,design=26182; analyze=165; refactor=100; trace=52; review=47,ab103cbe26d164f0,analyze,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0026,prompt,chartupdate,chartupdate,regenerate_candidate,generic_or_noisy_tag;long_tail,8,python3=4; ls=3; rg=1,read=4; process=4,refactor=9,16260763f096082e,refactor,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0027,prompt,run,run,regenerate_candidate,generic_or_noisy_tag;long_tail,8,sed=6; git=2,read=8,review=9,b36efb32af957737,review,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
r203-0028,session,agentsightsm,agentsightsm,regenerate_candidate,generic_or_noisy_tag;long_tail,8,,,,5941b8404514920a,search,True,True,review_promote_candidate,,,unclear,unclear,,unclear,consensus,final
