task,dataset,query_family,objective,metric,direction,default_policy,best_policy,best_policy_class,best_view,best_ranker,best_value,default_value,gain_over_default,default_is_best,best_is_visible_non_oracle,action_class,changes_view,changes_ranker,mechanism_labels,mechanism_count,optimization_action,counterpoints,actionable
agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0886,0.0886,0.0,True,True,keep_default_operation_stack,False,False,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,0.1123,0.0067,0.1056,False,True,use_raw_action_mapping_counterpoint,True,False,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,budget30_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.4382,0.4382,0.0,True,True,keep_default_operation_stack,False,False,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0007,0.0007,0.0,True,True,keep_default_operation_stack,False,False,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,operation_stack:query_aware,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,1.0,186.0,185.0,False,True,use_raw_action_mapping_counterpoint,True,False,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,total_group_fragmentation,groups,lower,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,1.0,289.0,288.0,False,True,use_flat_full_recall_counterpoint,True,False,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0875,0.0875,0.0,True,True,keep_default_operation_stack,False,False,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,0.1419,0.0316,0.1103,False,True,use_raw_action_mapping_counterpoint,True,False,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,budget30_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.3533,0.3533,0.0,True,True,keep_default_operation_stack,False,False,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,operation_stack:visible_risk,operation_stack_variant,operation_stack,visible_risk,0.0011,0.0051,0.004,False,True,retune_operation_stack_ranker,False,True,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,operation_stack:query_aware,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,1.0,157.0,156.0,False,True,use_raw_action_mapping_counterpoint,True,False,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,total_group_fragmentation,groups,lower,operation_stack:query_aware,flat:width,flat_summary_counterpoint,flat,width,1.0,260.0,259.0,False,True,use_flat_full_recall_counterpoint,True,False,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.8808,0.8808,0.0,True,True,keep_default_operation_stack,False,False,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,0.8175,0.7593,0.0582,False,True,use_dataset_native_hierarchy,True,False,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
