project,operation,failed_calls,share_all_calls,same_operation_retry_within_2_calls,retry_rate,same_operation_retry_succeeded,same_operation_retry_success_rate,exact_invocation_retry_within_2_calls,exact_invocation_retry_rate,exact_invocation_retry_succeeded,exact_invocation_retry_success_rate,same_target_retry_within_2_calls,same_target_retry_succeeded,same_target_retry_success_rate,same_error_signature_failed_exact_retries,failed_tool_runtime_ms,failed_result_bytes,conditional_failure_roundtrips_avoidable_upper,note
ActPlane,delegate,8,0.000044,1,0.125000,1,1.000000,0,0.000000,0,0.000000,0,0,0.000000,0,674002,2576,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,mutate,269,0.001488,165,0.613383,133,0.806061,33,0.122677,27,0.818182,198,178,0.898990,5,143422,173687,33,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,navigate,39,0.000216,9,0.230769,9,1.000000,1,0.025641,1,1.000000,14,11,0.785714,0,14613,16496,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,other,7,0.000039,3,0.428571,0,0.000000,3,0.428571,0,0.000000,0,0,0.000000,0,60,648,3,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,read,216,0.001195,140,0.648148,115,0.821429,4,0.018519,3,0.750000,82,68,0.829268,1,64457,3290531,4,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,search,405,0.002240,156,0.385185,131,0.839744,0,0.000000,0,0.000000,169,151,0.893491,0,255271,2731588,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,shell,536,0.002965,303,0.565299,242,0.798680,1,0.001866,1,1.000000,172,134,0.779070,0,3851963,1566430,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,validate,192,0.001062,76,0.395833,50,0.657895,13,0.067708,7,0.538462,11,8,0.727273,0,678205,1168712,13,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,vcs,37,0.000205,19,0.513514,16,0.842105,0,0.000000,0,0.000000,21,18,0.857143,0,13050,298325,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,wait,212,0.001173,31,0.146226,23,0.741935,6,0.028302,6,1.000000,0,0,0.000000,0,3118913,1449795,6,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
ActPlane,web,31,0.000171,24,0.774194,17,0.708333,0,0.000000,0,0.000000,2,1,0.500000,0,74016,15275,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,control,1,0.000006,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,114032,225,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,delegate,1,0.000006,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,153344,6688,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,mutate,22,0.000122,17,0.772727,6,0.352941,1,0.045455,1,1.000000,17,8,0.470588,0,19069,4116,1,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,navigate,2,0.000011,1,0.500000,1,1.000000,0,0.000000,0,0.000000,1,1,1.000000,0,68,717,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,read,9,0.000050,8,0.888889,6,0.750000,0,0.000000,0,0.000000,1,1,1.000000,0,2145,48548,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,search,4,0.000022,2,0.500000,2,1.000000,0,0.000000,0,0.000000,2,2,1.000000,0,505,1398,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,shell,16,0.000089,12,0.750000,1,0.083333,2,0.125000,0,0.000000,1,1,1.000000,2,6402,780,2,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
academic-writing-skills,web,2,0.000011,1,0.500000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,39978,8362,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,control,2,0.000011,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,26347548,286,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,delegate,1,0.000006,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,135,5692,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,mutate,241,0.001333,124,0.514523,89,0.717742,19,0.078838,14,0.736842,125,109,0.872000,4,261761,336832,19,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,navigate,69,0.000382,15,0.217391,13,0.866667,0,0.000000,0,0.000000,24,19,0.791667,0,12930,389886,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,other,1,0.000006,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,5,143,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,read,290,0.001604,191,0.658621,163,0.853403,0,0.000000,0,0.000000,80,66,0.825000,0,177794,3660192,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,search,576,0.003186,200,0.347222,165,0.825000,0,0.000000,0,0.000000,230,200,0.869565,0,331926,5067925,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,shell,700,0.003872,443,0.632857,334,0.753950,11,0.015714,9,0.818182,310,231,0.745161,0,1900669,46397498,11,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,validate,377,0.002086,227,0.602122,169,0.744493,17,0.045093,13,0.764706,110,92,0.836364,0,1048563,858175,17,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,vcs,123,0.000680,58,0.471545,40,0.689655,0,0.000000,0,0.000000,48,28,0.583333,0,43992,930001,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,wait,143,0.000791,29,0.202797,23,0.793103,0,0.000000,0,0.000000,0,0,0.000000,0,1450937,572030,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentsight,web,127,0.000703,103,0.811024,26,0.252427,0,0.000000,0,0.000000,13,0,0.000000,0,1557542,91556,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,delegate,4,0.000022,2,0.500000,2,1.000000,0,0.000000,0,0.000000,2,2,1.000000,0,128174,694,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,mutate,28,0.000155,16,0.571429,13,0.812500,8,0.285714,8,1.000000,26,24,0.923077,0,1343,4623,8,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,navigate,1,0.000006,1,1.000000,1,1.000000,0,0.000000,0,0.000000,1,1,1.000000,0,86,11,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
agentskill-observability-paper,other,2,0.000011,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0,4,1936,0,"same-operation is descriptive only; conditional upper requires an exact input match and a sound preflight, idempotent retry, or negative cache"
