task,dataset,rank,group_id,stack,operations,positive_operations,positive_rate,sessions,visible_score_policy
agentreward_looping,agent-reward-bench,1,5f27e636831b,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:workarena;phase:navigate;action:click;repeat_signal:loop-like;status:failure,150,136,0.906667,7,query_aware
agentreward_looping,agent-reward-bench,2,0d3274153443,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:visualwebarena;phase:navigate;action:click;repeat_signal:loop-like;status:failure,78,60,0.769231,5,query_aware
agentreward_looping,agent-reward-bench,3,c5747b954529,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:assistantbench;phase:navigate;action:click;repeat_signal:loop-like;status:failure,76,76,1.0,5,query_aware
agentreward_looping,agent-reward-bench,4,460d3a6cf2f3,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:webarena;phase:navigate;action:click;repeat_signal:loop-like;status:failure,29,29,1.0,2,query_aware
agentreward_looping,agent-reward-bench,5,9fc5e01b91c8,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:visualwebarena;phase:navigate;action:hover;repeat_signal:loop-like;status:failure,27,27,1.0,1,query_aware
agentreward_side_effect,agent-reward-bench,1,a42a1b14823a,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:workarena;phase:input;action:fill;repeat_signal:loop-like;status:failure,47,13,0.276596,6,query_aware
agentreward_side_effect,agent-reward-bench,2,e53d9469b473,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:assistantbench;phase:input;action:fill;repeat_signal:loop-like;status:failure,29,0,0.0,5,query_aware
agentreward_side_effect,agent-reward-bench,3,16926d4c9455,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:workarena;phase:input;action:fill;repeat_signal:none;status:failure,20,10,0.5,4,query_aware
agentreward_side_effect,agent-reward-bench,4,c19c6f08275b,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:webarena;phase:input;action:fill;repeat_signal:loop-like;status:failure,6,0,0.0,2,query_aware
agentreward_side_effect,agent-reward-bench,5,e51e8d3c7a62,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:visualwebarena;phase:input;action:fill;repeat_signal:loop-like;status:failure,4,0,0.0,3,query_aware
satraj_unsafe,satraj-os-safety,1,c5bb19791fb5,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:unknown_file;phase:input;action:type;repeat_signal:loop-like;status:success,48,48,1.0,13,query_aware
satraj_unsafe,satraj-os-safety,2,847a40ab973f,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:os;phase:input;action:type;repeat_signal:loop-like;status:success,45,45,1.0,12,query_aware
satraj_unsafe,satraj-os-safety,3,b49bde8e900a,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:os;phase:input;action:key;repeat_signal:loop-like;status:success,36,36,1.0,9,query_aware
satraj_unsafe,satraj-os-safety,4,36f1029928e4,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:unknown_file;phase:input;action:key;repeat_signal:loop-like;status:success,34,34,1.0,11,query_aware
satraj_unsafe,satraj-os-safety,5,08411d07cf97,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:account;phase:input;action:type;repeat_signal:loop-like;status:success,17,0,0.0,4,query_aware
agentnet_incorrect_step,agentnet,1,fa456c553b90,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:os;phase:input;action:type;repeat_signal:loop-like;status:failure,5,0,0.0,1,query_aware
agentnet_incorrect_step,agentnet,2,de2a13f0e38b,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:os;phase:input;action:press;repeat_signal:loop-like;status:failure,4,0,0.0,1,query_aware
agentnet_incorrect_step,agentnet,3,af0396d069cf,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:error_correction;phase:input;action:type;repeat_signal:loop-like;status:failure,2,1,0.5,1,query_aware
agentnet_incorrect_step,agentnet,4,79ffe6d2264e,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:error_correction;phase:navigate;action:click;repeat_signal:loop-like;status:failure,9,2,0.222222,1,query_aware
agentnet_incorrect_step,agentnet,5,8666ffb9fedf,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:error_correction;phase:observe;action:wait;repeat_signal:loop-like;status:failure,1,0,0.0,1,query_aware
agentnet_redundant_step,agentnet,1,898cd2b61815,analysis_task:agentnet_redundant_step;dataset:agentnet;environment:libreoffice_impress;phase:navigate;action:click;repeat_signal:loop-like;status:failure,51,7,0.137255,5,query_aware
